SUMMARY STATISTICAL ANALYSIS
SN 	Feature  	Frequency 
--------------------------------------------------
1	NC_028699.1	910
2	NC_019488.1	909
3	NC_010393.1	909
4	NC_010463.1	909
5	NC_019545.1	905
6	NC_018279.1	894
7	NC_010392.1	891
8	NC_004348.1	866
9	NC_017985.1	860
10	NC_002371.2	828
11	NC_014900.1	822
12	NC_031946.1	812
13	NC_030919.1	808
14	NC_011802.1	804
15	NC_005841.1	771
16	NC_018275.1	764
17	NC_010391.1	751
18	NC_004313.1	681
19	NC_005340.1	581
20	NC_011976.1	567
21	NC_016761.1	540
22	NC_031129.1	504
23	NC_021774.1	494
24	NC_013059.1	401
25	NC_028696.2	330
26	NC_029072.1	279
27	NC_021782.1	242
28	NC_019706.1	191
29	NC_027339.1	171
30	NC_018843.1	168
31	NC_027344.1	141
32	NC_019720.1	103
33	NC_026607.2	101
34	NC_029042.1	98
35	NC_019721.1	91
36	NC_029003.2	68
37	NC_027350.1	42
38	NC_029015.2	39
39	NC_028701.2	39
40	NC_031940.1	38
41	NC_009232.2	29
42	NC_028698.1	29
43	NC_031925.1	27
44	NC_020083.1	19
45	NC_029071.1	15
46	NC_019710.1	12
47	NC_031902.1	12
48	NC_031933.1	11
49	NC_019767.1	11
50	NC_019716.1	7
51	NC_021563.1	6
52	NC_019717.1	5
53	NC_019708.1	5
54	NC_031924.1	3
55	NC_019705.1	3
56	NC_027329.1	3
57	NC_004775.2	3
58	NC_028825.1	2
59	NC_031082.1	2
60	NC_021775.1	2
61	NC_022752.1	2
62	NC_011041.1	1
63	NC_031050.1	1
64	NC_012749.1	1
65	NC_022754.1	1
66	NC_017981.1	1
67	NC_024122.1	1
68	NC_016763.1	1
69	NC_010495.1	1
70	NC_005282.1	1
71	NC_031939.1	1
72	NC_031128.1	1
73	NC_024204.1	1
74	NC_027337.1	1
75	NC_031918.1	1
76	NC_028754.1	1
77	NC_012223.2	1
78	NC_023856.1	1

